Series_reference,Period,Data_value,STATUS,UNITS,Subject,Group,Series_title_1
CPIM.SE901306,2005.12,795.0754567,FINAL,Index,Consumers Price Index - CPI,Food Price Index Level 3 Classes for New Zealand,Other grocery food
CPIM.SE901306,2006.01,799.0468626,FINAL,Index,Consumers Price Index - CPI,Food Price Index Level 3 Classes for New Zealand,Other grocery food
CPIM.SE901306,2006.02,794.2811755,FINAL,Index,Consumers Price Index - CPI,Food Price Index Level 3 Classes for New Zealand,Other grocery food
CPIM.SE901306,2006.03,809.3725179,FINAL,Index,Consumers Price Index - CPI,Food Price Index Level 3 Classes for New Zealand,Other grocery food
CPIM.SE901306,2006.04,795.0754567,FINAL,Index,Consumers Price Index - CPI,Food Price Index Level 3 Classes for New Zealand,Other grocery food
CPIM.SE901306,2006.05,768.0698967,FINAL,Index,Consumers Price Index - CPI,Food Price Index Level 3 Classes for New Zealand,Other grocery food
CPIM.SE901306,2006.06,794.2811755,FINAL,Index,Consumers Price Index - CPI,Food Price Index Level 3 Classes for New Zealand,Other grocery food
CPIM.SE901306,2006.07,803.8125496,FINAL,Index,Consumers Price Index - CPI,Food Price Index Level 3 Classes for New Zealand,Other grocery food
CPIM.SE901306,2006.08,811.7553614,FINAL,Index,Consumers Price Index - CPI,Food Price Index Level 3 Classes for New Zealand,Other grocery food
CPIM.SE901306,2006.09,801.4297061,FINAL,Index,Consumers Price Index - CPI,Food Price Index Level 3 Classes for New Zealand,Other grocery food
CPIM.SE901306,2006.1,814.9324861,FINAL,Index,Consumers Price Index - CPI,Food Price Index Level 3 Classes for New Zealand,Other grocery food
CPIM.SE901306,2006.11,821.2867355,FINAL,Index,Consumers Price Index - CPI,Food Price Index Level 3 Classes for New Zealand,Other grocery food
CPIM.SE901306,2006.12,816.5210485,FINAL,Index,Consumers Price Index - CPI,Food Price Index Level 3 Classes for New Zealand,Other grocery food
CPIM.SE901306,2007.01,832.406672,FINAL,Index,Consumers Price Index - CPI,Food Price Index Level 3 Classes for New Zealand,Other grocery food
CPIM.SE901306,2007.02,826.0524226,FINAL,Index,Consumers Price Index - CPI,Food Price Index Level 3 Classes for New Zealand,Other grocery food
CPIM.SE901306,2007.03,822.8752979,FINAL,Index,Consumers Price Index - CPI,Food Price Index Level 3 Classes for New Zealand,Other grocery food
CPIM.SE901306,2007.04,804.6068308,FINAL,Index,Consumers Price Index - CPI,Food Price Index Level 3 Classes for New Zealand,Other grocery food
CPIM.SE901306,2007.05,803.8125496,FINAL,Index,Consumers Price Index - CPI,Food Price Index Level 3 Classes for New Zealand,Other grocery food
CPIM.SE901306,2007.06,808.5782367,FINAL,Index,Consumers Price Index - CPI,Food Price Index Level 3 Classes for New Zealand,Other grocery food
CPIM.SE901306,2007.07,803.8125496,FINAL,Index,Consumers Price Index - CPI,Food Price Index Level 3 Classes for New Zealand,Other grocery food
CPIM.SE901306,2007.08,808.5782367,FINAL,Index,Consumers Price Index - CPI,Food Price Index Level 3 Classes for New Zealand,Other grocery food
CPIM.SE901306,2007.09,802.2239873,FINAL,Index,Consumers Price Index - CPI,Food Price Index Level 3 Classes for New Zealand,Other grocery food
CPIM.SE901306,2007.1,814.9324861,FINAL,Index,Consumers Price Index - CPI,Food Price Index Level 3 Classes for New Zealand,Other grocery food
CPIM.SE901306,2007.11,822.8752979,FINAL,Index,Consumers Price Index - CPI,Food Price Index Level 3 Classes for New Zealand,Other grocery food
CPIM.SE901306,2007.12,823.669579,FINAL,Index,Consumers Price Index - CPI,Food Price Index Level 3 Classes for New Zealand,Other grocery food
CPIM.SE901306,2008.01,829.2295473,FINAL,Index,Consumers Price Index - CPI,Food Price Index Level 3 Classes for New Zealand,Other grocery food
